dataset,budget,min_expand_k,accuracy,avg_actions,avg_expansions,avg_verifications,mean_prune_share_of_actions,mean_forced_expand_share,mean_action_trace_length,examples_with_action_trace
openai/gsm8k,6,0,0.3333333333333333,3.6666666666666665,0.9166666666666666,2.75,0.25,0.0,3.9166666666666665,12
openai/gsm8k,6,1,0.25,3.75,2.5,1.25,0.047619047619047616,0.6666666666666666,4.083333333333333,12
openai/gsm8k,6,2,0.4166666666666667,4.083333333333333,4.0,0.08333333333333333,0.023809523809523808,0.9484126984126985,4.25,12
openai/gsm8k,8,0,0.08333333333333333,5.25,0.5833333333333334,4.666666666666667,0.25,0.0,5.5,12
openai/gsm8k,8,1,0.5,5.166666666666667,3.3333333333333335,1.8333333333333333,0.09589947089947091,0.5846560846560847,5.75,12
openai/gsm8k,8,2,0.4166666666666667,4.916666666666667,4.0,0.9166666666666666,0.0,0.8645833333333334,4.916666666666667,12
