budget,dataset,mean_accuracy,mean_avg_actions,mean_avg_expansions,mean_avg_verifications,mean_budget_exhaustion_rate,method,n_rows,std_accuracy,std_avg_actions,stderr_accuracy,stderr_avg_actions
6,EleutherAI/hendrycks_math,0.38888888888888884,3.75,2.3333333333333335,1.4166666666666667,0.2777777777777778,adaptive_budget_guarded,3,0.24056261216234406,0.44095855184409827,0.1388888888888889,0.2545875386086577
6,EleutherAI/hendrycks_math,0.638888888888889,4.111111111111111,4.111111111111111,0.0,0.27777777777777773,reasoning_beam2,3,0.20971762320196527,0.45896421227384177,0.12108052620946316,0.2649831115047071
6,EleutherAI/hendrycks_math,0.5833333333333334,1.916666666666667,1.916666666666667,0.0,0.0,reasoning_greedy,3,0.08333333333333331,0.22047927592204924,0.04811252243246881,0.12729376930432892
6,EleutherAI/hendrycks_math,0.4166666666666667,6.0,4.333333333333333,1.6666666666666667,1.0,self_consistency_3,3,0.14433756729740646,0.0,0.08333333333333334,0.0
6,EleutherAI/hendrycks_math,0.38888888888888884,3.75,2.3333333333333335,1.4166666666666667,0.2777777777777778,strict_coupled_tie_aware_promoted,3,0.24056261216234406,0.44095855184409827,0.1388888888888889,0.2545875386086577
6,EleutherAI/hendrycks_math,0.3055555555555555,6.0,3.0,3.0,1.0,verifier_guided_search,3,0.0481125224324688,0.0,0.027777777777777773,0.0
8,EleutherAI/hendrycks_math,0.3888888888888889,4.277777777777778,2.5555555555555554,1.7222222222222223,0.25,adaptive_budget_guarded,3,0.048112522432468836,0.8221471437193745,0.027777777777777794,0.4746668747398628
8,EleutherAI/hendrycks_math,0.5833333333333334,4.444444444444444,4.444444444444444,0.0,0.027777777777777776,reasoning_beam2,3,0.08333333333333331,0.24056261216234373,0.04811252243246881,0.1388888888888887
8,EleutherAI/hendrycks_math,0.4166666666666667,2.222222222222222,2.222222222222222,0.0,0.0,reasoning_greedy,3,0.2886751345948129,0.17347216662217763,0.16666666666666669,0.10015420209622188
8,EleutherAI/hendrycks_math,0.5277777777777778,7.75,5.416666666666667,2.3333333333333335,0.8055555555555555,self_consistency_3,3,0.12729376930432887,0.14433756729740646,0.07349309197401639,0.08333333333333334
