method,mean_accuracy,std_accuracy,ci95_accuracy,mean_actions,mean_expansions,mean_verifications
strict_f3,0.6213,0.0315,"[0.5961, 0.6465]",5.271,4.909,0.362
strict_gate1_cap_k6,0.6167,0.0310,"[0.5918, 0.6415]",5.323,4.996,0.327
strict_f2,0.6111,0.0377,"[0.5810, 0.6413]",5.156,4.846,0.310
l1_max,0.4843,0.0725,"[0.4263, 0.5422]",2.009,2.009,0.000
tale,0.4796,0.0363,"[0.4506, 0.5087]",2.030,2.030,0.000
s1,0.4741,0.0308,"[0.4495, 0.4987]",3.353,3.353,0.000
l1_exact,0.4602,0.0232,"[0.4417, 0.4787]",2.028,2.028,0.000
