seed,budget,setup,target_mode,horizon_steps,train_rows_used,label_positive_rate,uncertain_rate,delta_std_mean,delta_sign_flip_rate_mean,stop_reference_gain_mean,classification_accuracy,classification_auc,learned_accuracy,heuristic_accuracy,learned_vs_heuristic_accuracy_margin,learned_vs_uncertainty_accuracy_margin,learned_avg_best_score,heuristic_avg_best_score,learned_vs_heuristic_score_margin
41,10,default,proxy_best_other_gain,2,12316,0.023322662833997518,0.8085189782452473,0.08971351792230478,0.13700703381894994,0.24395326200635925,0.8515546639919759,0.9567980295566503,0.6,0.6090909090909091,-0.00909090909090915,0.05909090909090908,0.7031883617264972,0.6882698301408887,0.014918531585608519
41,10,long_horizon_policy_coupled_stop,proxy_policy_coupled_stop_reallocation_horizon,3,12316,0.25988110015025806,0.9689031162213366,0.08744547319040895,0.35332418719104547,0.19103633126959993,0.6573052490805751,0.6994090002443557,0.5727272727272728,0.6136363636363636,-0.040909090909090895,0.036363636363636376,0.7049770652071734,0.6875481519423738,0.01742891326479956
41,10,one_step_policy_coupled_stop,proxy_policy_coupled_stop_reallocation,2,12316,0.2351211863853139,0.8686875285816946,0.07538745010254456,0.23766904030835564,0.08135206620754865,0.8535606820461384,0.9255383455263045,0.5590909090909091,0.6136363636363636,-0.054545454545454564,0.022727272727272707,0.7030768526573465,0.6875481519423738,0.015528700714972699
42,10,default,proxy_best_other_gain,2,12287,0.025664349295042556,0.8076148398414658,0.08997227504212668,0.13736382734498515,0.2451986788714036,0.8814432989690721,0.9541507881517408,0.5772727272727273,0.5954545454545455,-0.018181818181818188,-0.03181818181818186,0.7016378119401269,0.6978894770724065,0.0037483348677204154
42,10,long_horizon_policy_coupled_stop,proxy_policy_coupled_stop_reallocation_horizon,3,12287,0.25644857384185565,0.9682931583392892,0.08578725785303341,0.3502696381001884,0.1930083257045405,0.6307989690721649,0.6804015591558179,0.5545454545454546,0.5909090909090909,-0.036363636363636376,-0.054545454545454564,0.7061712967972968,0.6980038391534694,0.008167457643827425
42,10,one_step_policy_coupled_stop,proxy_policy_coupled_stop_reallocation,2,12287,0.22877006042492365,0.8706386849457475,0.07421409787902197,0.2340437051956771,0.08298169872521455,0.8595360824742269,0.9346317758723139,0.5772727272727273,0.5909090909090909,-0.013636363636363669,-0.03181818181818186,0.7154092491512233,0.6980038391534694,0.017405409997753862
41,14,default,proxy_best_other_gain,2,12891,0.02049051131706702,0.8096589117962297,0.0904875648328219,0.13533194628333647,0.24800830115636996,0.8693602693602693,0.9583698555805994,0.6227272727272727,0.6,0.022727272727272707,-0.013636363636363669,0.7041190029111254,0.6936399516369679,0.010479051274157491
41,14,long_horizon_policy_coupled_stop,proxy_policy_coupled_stop_reallocation_horizon,3,12891,0.26398083349095264,0.9703045205220352,0.0872952600350384,0.35344555828762375,0.19297904713998,0.6397306397306397,0.6821201476542034,0.5909090909090909,0.5954545454545455,-0.004545454545454519,-0.036363636363636376,0.70305579950891,0.6917131860610873,0.011342613447822614
41,14,one_step_policy_coupled_stop,proxy_policy_coupled_stop_reallocation,2,12891,0.2357354517369649,0.8726435911985373,0.07520818204276636,0.23415925855872896,0.08262363534873456,0.8548821548821549,0.9394405286343612,0.6227272727272727,0.5954545454545455,0.027272727272727226,-0.00909090909090915,0.7111406278712623,0.6923115883181689,0.018829039553093452
42,14,default,proxy_best_other_gain,2,13036,0.024144012649759777,0.8091589126071884,0.0901915483486688,0.13606600579780653,0.24668082211245246,0.8799530378632228,0.956062424969988,0.6090909090909091,0.5727272727272728,0.036363636363636376,0.050000000000000044,0.7111002726509829,0.6960406675296203,0.015059605121362507
42,14,long_horizon_policy_coupled_stop,proxy_policy_coupled_stop_reallocation_horizon,3,13036,0.2654625068418172,0.968132335948428,0.08718713554044383,0.35585558190922173,0.1894970661775245,0.6237158790724978,0.6628564715925701,0.55,0.5772727272727273,-0.027272727272727226,-0.013636363636363558,0.7078678736757384,0.6980484958504382,0.00981937782530029
42,14,one_step_policy_coupled_stop,proxy_policy_coupled_stop_reallocation,2,13036,0.23189199051268017,0.8786109590707292,0.0753197697592497,0.2377708852804638,0.08202438030838079,0.8497211623128852,0.9337273306680572,0.5772727272727273,0.5818181818181818,-0.004545454545454519,0.018181818181818188,0.7007562652245408,0.7004415055135292,0.00031475971101158073
